InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
rnd_11_2_10,160,160,160,159,7.63057569985545e-06,7.6305756998561e-06,6.5390943528032e-19,0.0045921,0.1757086,-0.1711165,6
rnd_11_2_2,160,160,160,19,0.822679808027714,0.822729459563144,4.96515354304616e-05,0.0045921,0.7274512,-0.7228591,127
rnd_11_2_3,160,160,160,37,0.668391459772385,0.668465935791417,7.44760190317661e-05,0.0045921,1.4199857,-1.4153936,160
rnd_11_2_4,160,160,160,54,0.528573114196749,0.528586983758581,1.3869561831803e-05,0.0045921,2.2205864,-2.2159943,177
rnd_11_2_5,160,160,160,72,0.384156733096347,0.384180097162821,2.33640664739632e-05,0.0045921,1.9256828,-1.9210907,123
rnd_11_2_6,160,160,160,89,0.268030139668128,0.268032136564644,1.99689651564361e-06,0.0045921,1.0922041,-1.087612,56
rnd_11_2_7,160,160,160,107,0.169966933036619,0.169971397364368,4.46432774872663e-06,0.0045921,2.029984,-2.0253919,90
rnd_11_2_8,160,160,160,124,0.0887751920235457,0.0887772453321026,2.05330855695962e-06,0.0045921,2.5838435,-2.5792514,114
rnd_11_2_9,160,160,160,142,0.026115597063305,0.0261157449808128,1.47917507724998e-07,0.0045921,1.3756517,-1.3710596,55
rnd_11_3_1,160,160,160,2,0.982879988044174,0.982955177307628,7.51892634534013e-05,0.0046977,0.6433027,-0.638605,230
rnd_11_3_10,160,160,160,159,0.00074144455018169,0.000741444648790532,9.86088416867273e-11,0.0046977,0.3064311,-0.3017334,12
rnd_11_3_2,160,160,160,19,0.840412166346267,0.840424359722307,1.21933760397486e-05,0.0046977,0.6029342,-0.5982365,99
rnd_11_3_3,160,160,160,37,0.700165500009519,0.700206984021822,4.14840123027505e-05,0.0046977,1.368344,-1.3636463,140
rnd_11_3_4,160,160,160,54,0.563585482676109,0.563594734454236,9.25177812682865e-06,0.0046977,1.3245137,-1.319816,109
rnd_11_3_5,160,160,160,72,0.428796909855807,0.428828488906052,3.1579050244479e-05,0.0046977,2.2255376,-2.2208399,138
rnd_11_3_6,160,160,160,89,0.311304685679086,0.311308416947502,3.73126841668459e-06,0.0046977,1.7879024,-1.7832047,92
rnd_11_3_7,160,160,160,107,0.201515761070359,0.201518989235502,3.22816514319868e-06,0.0046977,1.8341258,-1.8294281,80
rnd_11_3_8,160,160,160,124,0.11229146860726,0.112293103862452,1.63525519245034e-06,0.0046977,2.7545301,-2.7498324,122
rnd_11_3_9,160,160,160,142,0.0430940565102111,0.0430956359169223,1.57940671120793e-06,0.0046977,2.7507146,-2.7460169,111
rnd_12_1_1,320,320,320,2,0.991473441820592,0.991568417188837,9.49753682449872e-05,0.0210809,0.5756633,-0.5545824,81
rnd_12_1_10,320,320,320,319,0.000773899977251196,0.000773900068393391,9.11421944860269e-11,0.0210809,2.5035643,-2.4824834,15
rnd_12_1_2,320,320,320,37,0.848101140149458,0.848160434676367,5.92945269088929e-05,0.0210809,4.048258,-4.0271771,162
rnd_12_1_3,320,320,320,72,0.70768041803987,0.70773442998479,5.40119449204957e-05,0.0210809,6.0528929,-6.031812,135
rnd_12_1_4,320,320,320,108,0.573084160490605,0.573102850237961,1.8689747355638e-05,0.0210809,7.0209149,-6.999834,109
rnd_12_1_5,320,320,320,143,0.453734750717767,0.453804090953373,6.93402356062855e-05,0.0210809,11.5126665,-11.4915856,136
rnd_12_1_6,320,320,320,178,0.340490334301167,0.34051351724894,2.31829477725376e-05,0.0210809,13.3018202,-13.2807393,132
rnd_12_1_7,320,320,320,213,0.230421499945023,0.230430998849278,9.49890425450128e-06,0.0210809,12.7143708,-12.6932899,103
rnd_12_1_8,320,320,320,249,0.128236627226121,0.128240736322444,4.10909632306278e-06,0.0210809,17.9928626,-17.9717817,125
rnd_12_1_9,320,320,320,284,0.0546248459274406,0.0546258195085753,9.73581134745827e-07,0.0210809,22.4984069,-22.477326,148
rnd_12_2_1,320,320,320,2,0.989434992788774,0.989468072910536,3.30801217620635e-05,0.0132917,0.8493525,-0.8360608,115
rnd_12_2_10,320,320,320,319,6.9250747390802e-07,6.92507473908637e-07,6.17169381193165e-19,0.0132917,0.862302,-0.8490103,5
rnd_12_2_2,320,320,320,37,0.809013431567446,0.809027502920731,1.40713532854608e-05,0.0132917,3.0585538,-3.0452621,126
rnd_12_2_3,320,320,320,72,0.646671637500914,0.646692549000622,2.0911499707843e-05,0.0132917,5.1534942,-5.1402025,117
rnd_12_2_4,320,320,320,108,0.499452462134415,0.499469021420296,1.65592858810681e-05,0.0132917,6.5735356,-6.5602439,102
rnd_12_2_5,320,320,320,143,0.374670793930871,0.374764701613414,9.39076825433038e-05,0.0132917,8.3124843,-8.2991926,100
rnd_12_2_6,320,320,320,178,0.263821262946498,0.263879474553376,5.8211606878189e-05,0.0132917,12.552698,-12.5394063,124
rnd_12_2_7,320,320,320,213,0.175838234257643,0.175858179157965,1.99449003212004e-05,0.0132917,19.0451531,-19.0318614,160
rnd_12_2_8,320,320,320,249,0.0950108127665745,0.0950147936465914,3.98088001694885e-06,0.0132917,11.5238107,-11.510519,83
rnd_12_2_9,320,320,320,284,0.0312633147090227,0.0312635569322999,2.42223277206743e-07,0.0132917,11.5360045,-11.5227128,74
rnd_12_3_1,320,320,320,2,0.991142465078463,0.991183206428452,4.0741349988993e-05,0.0161339,0.5879697,-0.5718358,70
rnd_12_3_10,320,320,320,319,0.000163469347061469,0.000163469357946714,1.0885244338928e-11,0.0161339,1.3024829,-1.286349,8
rnd_12_3_2,320,320,320,37,0.83993645282629,0.839992948336095,5.64955098053543e-05,0.0161339,3.6433259,-3.627192,155
rnd_12_3_3,320,320,320,72,0.695565165547475,0.695583475972401,1.83104249259491e-05,0.0161339,6.1702131,-6.1540792,144
rnd_12_3_4,320,320,320,108,0.555985891687325,0.556021730093659,3.58384063340322e-05,0.0161339,10.9327118,-10.9165779,169
rnd_12_3_5,320,320,320,143,0.430103585937719,0.430156124520051,5.25385823316182e-05,0.0161339,16.976359,-16.9602251,207
rnd_12_3_6,320,320,320,178,0.312757186028598,0.312764843161826,7.65713322736783e-06,0.0161339,16.0839314,-16.0677975,160
rnd_12_3_7,320,320,320,213,0.208210113748802,0.208219459990838,9.34624203624557e-06,0.0161339,10.2632827,-10.2471488,86
rnd_12_3_8,320,320,320,249,0.114456985836804,0.114470995087983,1.40092511791839e-05,0.0161339,11.6961675,-11.6800336,87
rnd_12_3_9,320,320,320,284,0.041337916880855,0.0413387875981978,8.70717342837946e-07,0.0161339,20.7745447,-20.7584108,135
rnd_13_1_1,10,20,7,2,0.561979032556993,0.561980022443326,9.89886333457868e-07,6.73e-05,0.0043369,-0.0042696,23
rnd_13_1_2,10,20,7,3,0.426130818019419,0.426131301254124,4.83234705028757e-07,6.73e-05,0.0046085,-0.0045412,22
rnd_13_1_3,10,20,7,4,0.329120687322357,0.329120981887109,2.94564752867377e-07,6.73e-05,0.0038771,-0.0038098,16
rnd_13_1_4,10,20,7,5,0.263978597864987,0.263984145338312,5.54747332509598e-06,6.73e-05,0.0265858,-0.0265185,125
