InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Our_Iter
in000001,240,360,232,70,0.0136678935959935,0.0126053905114532,-0.00106250308454037,62
in000038,240,360,232,70,0.0136678935959935,0.0127572044730186,-0.000910689122974873,53
in000075,240,360,234,71,0.0135366274043918,0.0124524161219597,-0.00108421128243208,72
in000112,240,360,232,70,0.0136678935959935,0.012577909976244,-0.00108998361974955,66
in000149,240,360,230,69,0.0138198509812355,0.0129662742838264,-0.000853576697409153,81
in000186,240,360,232,70,0.0136678935959935,0.0125447968021035,-0.00112309679389,76
