Error,GradientNorm
0.897707521915436,-1
0.0947742536664009,-1
0.0637114644050598,-1
0.0577333755791187,-1
0.0556878745555878,-1
0.0547497123479843,-1
0.054234441369772,-1
0.0539113953709602,-1
0.0536896474659443,-1
0.053528904914856,-1
0.0534089170396328,-1
0.0533179119229317,-1
0.0532481372356415,-1
0.0531940571963787,-1
0.0531516559422016,-1
0.0531179532408714,-1
0.0530907697975636,-1
0.0530685074627399,-1
0.053050022572279,-1
0.0530344359576702,-1
0.0530211329460144,-1
0.0530096441507339,-1
0.0529996231198311,-1
0.0529908016324043,-1
0.0529829859733582,-1
0.0529760196805,-1
0.0529697723686695,-1
0.0529641583561897,-1
0.0529590994119644,-1
0.0529545247554779,-1
0.0529503859579563,-1
0.0529466383159161,-1
0.0529432371258736,-1
0.0529401451349258,-1
0.0529373474419117,-1
0.0529348030686378,-1
0.0529324933886528,-1
0.0529303997755051,-1
0.0529284961521626,-1
0.0529267638921738,-1
0.0529251992702484,-1
0.0529237724840641,-1
0.0529224760830402,-1
0.0529213063418865,-1
0.0529202371835709,-1
0.052919264882803,-1
0.0529183857142925,-1
0.0529175847768784,-1
0.0529168583452702,-1
0.052916195243597,-1
0.0529155991971493,-1
0.0529150515794754,-1
0.0529145523905754,-1
0.0529141016304493,-1
0.0529136881232262,-1
0.0529133081436157,-1
0.0529129691421986,-1
0.0529126599431038,-1
0.0529123768210411,-1
0.0529121123254299,-1
0.0529118776321411,-1
0.0529116615653038,-1
0.0529114678502083,-1
0.0529112853109837,-1
0.0529111213982105,-1
0.0529109686613083,-1
0.0529108308255672,-1
0.0529107004404068,-1
0.0529105849564075,-1
0.0529104806482792,-1
0.0529103875160217,-1
0.0529102981090546,-1
0.0529102124273777,-1
0.052910141646862,-1
0.0529100671410561,-1
0.052910003811121,-1
0.0529099442064762,-1
0.052909892052412,-1
