InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Svd_time,Our_time,Time_gain,Our_Iter
rnd_2_5_2,40,40,40,9,0.6570322179865,0.657037757475369,5.53948886916622e-06,0.000277,0.0399002,-0.0396232,60
rnd_2_5_3,40,40,40,17,0.39543534047336,0.395441231668605,5.89119524513348e-06,0.000277,0.0863368,-0.0860598,122
rnd_2_5_4,40,40,40,24,0.249681220399627,0.249683246189902,2.02579027538952e-06,0.000277,0.0840408,-0.0837638,77
rnd_2_5_5,40,40,40,32,0.085840179565014,0.085840496392249,3.16827234947414e-07,0.000277,0.071968,-0.071691,59
rnd_2_5_6,40,40,40,39,0.00347153140783064,0.00347153144318936,3.5358717256212e-11,0.000277,0.0143164,-0.0140394,10
rnd_3_1_1,80,80,80,2,0.961907413246068,0.961917502592438,1.00893463707008e-05,0.0008383,0.1131712,-0.1123329,137
rnd_3_1_2,80,80,80,17,0.680872059753187,0.680887598797121,1.55390439335878e-05,0.0008383,0.1610581,-0.1602198,101
rnd_3_1_3,80,80,80,33,0.442528514720874,0.442534299589391,5.78486851721127e-06,0.0008383,0.2410409,-0.2402026,93
rnd_3_1_4,80,80,80,48,0.256468597636479,0.256469068093161,4.70456681722631e-07,0.0008383,0.0966092,-0.0957709,31
rnd_3_1_5,80,80,80,64,0.109520120284971,0.109523269348143,3.14906317111507e-06,0.0008383,0.2651808,-0.2643425,65
rnd_3_1_6,80,80,80,79,0.00256039391107939,0.00256039411222172,2.01142328487558e-10,0.0008383,0.0472318,-0.0463935,10
rnd_3_2_1,80,80,80,2,0.963556444368371,0.963628009728216,7.15653598449828e-05,0.0013834,0.1912947,-0.1899113,249
rnd_3_2_2,80,80,80,17,0.711469077290615,0.711483102792416,1.40255018018509e-05,0.0013834,0.2828327,-0.2814493,175
rnd_3_2_3,80,80,80,33,0.481664489630751,0.481668852397743,4.36276699272709e-06,0.0013834,0.2774444,-0.276061,116
rnd_3_2_4,80,80,80,48,0.277895804611667,0.277904316873816,8.51226214909628e-06,0.0013834,0.6685819,-0.6671985,218
rnd_3_2_5,80,80,80,64,0.118429869729924,0.118431036047342,1.16631741732542e-06,0.0013834,0.2713774,-0.269994,67
rnd_3_2_6,80,80,80,79,0.00149049833645792,0.0014905009003807,2.56392278111597e-09,0.0013834,0.1820766,-0.1806932,39
rnd_3_3_1,80,80,80,2,0.954446901218664,0.95445666154105,9.76032238586555e-06,0.0013559,0.0484987,-0.0471428,59
rnd_3_3_2,80,80,80,17,0.689265785377754,0.689280023238406,1.42378606516891e-05,0.0013559,0.2600946,-0.2587387,164
