Error,GradientNorm,ConvError
0.475407016339755,538611.937540537,705.403113182199
0.23304472365368,3035.09893927075,394.917438561329
0.0893861421783132,33702.0810660454,98.3560373855383
0.0730164617936075,125.900862251131,24.4048260264023
0.0719613655535084,3140.30379491645,7.12006854025606
0.0718741643479852,6.92769299015269,2.24655856214205
0.0718656129341132,350.79641285928,0.730914086592064
0.0718647136674209,0.624226431813003,0.240784240992337
0.0718646163428288,38.5797006088741,0.0797882668231788
0.0718646056719357,0.0663563142904382,0.026482684490297
0.071864604494428,4.25647803231071,0.00881381367725181
0.0718646043640552,0.00731256135811531,0.00290353672786514
0.0718646043495939,0.471390778104411,0.000967569120250596
0.0718646043479882,0.00081193998659348,0.000290257441529939
0.0718646043478098,0.0523127223121293,9.6762847360663e-05
0.07186460434779,9.02877498617691e-05,0
