Error,GradientNorm
0.626471003631844,-1
0.375286197972101,-1
0.274454166165228,-1
0.235128956061371,-1
0.221049119850951,-1
0.215269690397833,-1
0.21224867732509,-1
0.21037971425309,-1
0.209135604579439,-1
0.208288896413474,-1
0.207707597518231,-1
0.207303663972546,-1
0.207017356262419,-1
0.206808835859239,-1
0.206651964664017,-1
0.206529745103138,-1
0.206431156938452,-1
0.206349051623887,-1
0.206278780329468,-1
0.20621730749582,-1
0.206162638782449,-1
0.206113451126309,-1
0.206068852836652,-1
0.206028227772562,-1
0.205991134246407,-1
0.205957239766462,-1
0.205926279348517,-1
0.205898029339687,-1
0.205872291412468,-1
0.205848883161227,-1
0.205827632910194,-1
0.205808377133217,-1
0.205790959423224,-1
0.205775230316782,-1
0.205761047530448,-1
0.20574827633643,-1
0.205736789919799,-1
0.205726469634951,-1
0.205717205127185,-1
0.205708894314634,-1
0.205701443242499,-1
0.205694765829773,-1
0.205688783531676,-1
0.205683424940727,-1
0.205678625347311,-1
0.205674326277701,-1
0.205670475024293,-1
0.205667024179697,-1
0.20566393118354,-1
0.205661157888364,-1
0.20565867014898,-1
0.205656437437982,-1
0.205654432488806,-1
0.205652630966723,-1
0.2056510111674,-1
0.205649553742145,-1
0.205648241448541,-1
0.205647058924982,-1
0.205645992487463,-1
0.205645029946936,-1
0.205644160445519,-1
0.205643374309922,-1
0.205642662920504,-1
0.205642018594455,-1
0.205641434481721,-1
0.205640904472371,-1
0.205640423114224,-1
0.205639985539648,-1
0.20563958740056,-1
0.205639224810715,-1
0.205638894294504,-1
0.205638592741527,-1
0.205638317366302,-1
0.205638065672528,-1
0.20563783542139,-1
0.205637624603449,-1
0.205637431413706,-1
