Error,GradientNorm
0.863862649478436,-1
0.742635789979534,-1
0.683935432691916,-1
0.653388295420273,-1
0.637280159315601,-1
0.628643724260828,-1
0.623758582675301,-1
0.620781417037176,-1
0.618843031137657,-1
0.617520296864896,-1
0.616589514957383,-1
0.615920662514837,-1
0.615431898655596,-1
0.615068822132882,-1
0.614794071475214,-1
0.614581511948237,-1
0.614412664410808,-1
0.614274365167359,-1
0.614157176135238,-1
0.614054286528142,-1
0.613960749749738,-1
0.613872953274602,-1
0.613788251658828,-1
0.613704713907717,-1
0.61362095075611,-1
0.613535997299216,-1
0.613449233250292,-1
0.613360327855803,-1
0.613269199865399,-1
0.613175985445061,-1
0.613081008901381,-1
0.612984752788394,-1
0.612887825514321,-1
0.612790925971693,-1
0.612694805923117,-1
0.61260023179111,-1
0.612507948034441,-1
0.612418644400628,-1
0.612332929048574,-1
0.612251308929511,-1
0.612174178039037,-1
0.612101813362074,-1
0.612034377658388,-1
0.611971927765442,-1
0.611914426859627,-1
0.611861759099833,-1
0.611813745230036,-1
0.611770157977009,-1
0.611730736384419,-1
0.611695198526105,-1
0.61166325230644,-1
0.611634604267092,-1
0.611608966472899,-1
0.611586061649129,-1
0.611565626797005,-1
0.611547415534753,-1
0.611531199407753,-1
0.611516768392566,-1
0.611503930792516,-1
0.611492512692249,-1
0.611482357108565,-1
0.611473322946916,-1
0.611465283848398,-1
0.611458126991151,-1
0.611451751892887,-1
0.611446069247445,-1
0.611440999817395,-1
0.611436473396431,-1
0.611432427849019,-1
0.6114288082302,-1
0.611425565985225,-1
0.611422658226441,-1
0.61142004708342,-1
0.611417699121458,-1
0.611415584823112,-1
0.611413678127323,-1
0.611411956020735,-1
0.611410398176019,-1
0.611408986632343,-1
0.611407705513439,-1
0.611406540779117,-1
0.611405480006439,-1
0.611404512197149,-1
0.611403627608267,-1
0.611402817603135,-1
0.611402074520451,-1
0.611401391559143,-1
0.611400762677154,-1
0.611400182502465,-1
