Error,GradientNorm
0.998497923090186,-1
0.992892589543144,-1
0.99160137413976,-1
0.990909863325402,-1
0.990491964974479,-1
0.990212643501667,-1
0.990009533360273,-1
0.989850999763932,-1
0.989719984960698,-1
0.989606930426446,-1
0.989506331599759,-1
0.98941494756428,-1
0.989330830728988,-1
0.989252783845739,-1
0.989180047930878,-1
0.989112119049191,-1
0.989048639316135,-1
0.988989331918735,-1
0.988933962868375,-1
0.988882319217592,-1
0.988834197429612,-1
0.988789397918211,-1
0.988747723209357,-1
0.988708978093898,-1
0.988672970744178,-1
0.988639514168768,-1
0.988608427645429,-1
0.988579537945273,-1
0.988552680269943,-1
0.988527698888682,-1
0.988504447498041,-1
0.988482789344062,-1
0.988462597152196,-1
0.988443752909051,-1
0.988426147535366,-1
0.988409680483587,-1
0.988394259287149,-1
0.988379799082743,-1
0.988366222121839,-1
0.988353457283471,-1
0.988341439596973,-1
0.988330109780648,-1
0.988319413800353,-1
0.988309302450432,-1
0.988299730958322,-1
0.988290658613324,-1
0.988282048419476,-1
0.988273866772042,-1
0.988266083156891,-1
0.988258669871842,-1
0.988251601768969,-1
0.988244856016801,-1
0.988238411881319,-1
0.98823225052467,-1
0.98822635482053,-1
0.988220709185065,-1
0.988215299422496,-1
0.98821011258429,-1
0.988205136841035,-1
0.988200361366134,-1
0.988195776230439,-1
0.988191372307032,-1
0.988187141185377,-1
0.988183075094104,-1
0.988179166831748,-1
0.988175409704767,-1
0.988171797472235,-1
0.988168324296614,-1
0.988164984700075,-1
0.988161773525837,-1
0.98815868590405,-1
0.988155717221784,-1
0.988152863096699,-1
0.988150119354011,-1
0.988147482006412,-1
0.988144947236602,-1
0.988142511382145,-1
0.988140170922373,-1
0.988137922467083,-1
0.988135762746822,-1
0.988133688604522,-1
0.988131696988344,-1
0.988129784945529,-1
0.98812794961714,-1
0.988126188233539,-1
0.988124498110512,-1
0.988122876645916,-1
0.988121321316774,-1
0.98811982967674,-1
0.988118399353865,-1
0.988117028048604,-1
0.98811571353202,-1
0.988114453644147,-1
0.988113246292464,-1
0.988112089450469,-1
0.988110981156309,-1
0.988109919511463,-1
0.988108902679457,-1
0.988107928884595,-1
