InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Our_Iter
in000001,480,720,372,112,0.00756000634282827,0.00781008647754788,0.00025008013471961,87
in000040,480,720,395,119,0.00692191859707236,0.0115091418847442,0.0045872232876718,100
in000079,480,720,416,125,0.00624565733596683,0.0139603791758418,0.00771472183987498,80
in000118,480,720,394,119,0.00692191859707236,0.010760429315269,0.00383851071819663,61
in000157,480,720,398,120,0.00682368921115994,0.0119732264429331,0.00514953723177314,70
in000196,480,720,398,120,0.00682368921115994,0.0126362880691886,0.00581259885802865,74
