InputName,InputM,InputN,InputRk,TargetRk,Opt_delta,Our_delta,Delta_diff,Our_Iter
in001341,480,720,477,144,0.00495633343234658,0.0628181621432304,0.0578618273139,105
in001743,480,720,479,144,0.00495633343234658,0.0643016472458839,0.0593453124165535,113
in002145,480,720,478,144,0.00495633343234658,0.064538948237896,0.0595826134085655,95
in003351,480,720,478,144,0.00495633343234658,0.0641637668013573,0.0592074319720268,93
in003485,480,720,476,143,0.00500213820487261,0.0659645423293114,0.0609624050557613,142
in003619,480,720,477,144,0.00495633343234658,0.0645123869180679,0.0595560520887375,114
